site_location,inspection_date,template_name,section,question,answer,notes,image_path,image_required,question_alias,run_time,account,template_folder_url,template_folder_name
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Title Page,Select Your Store,VONS 02090 (Main),,,,SelectYourStore,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Title Page,Conducted on,5:00 PM,,,,ConductedOn,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Title Page,What Type of Operation Will Occur Today? (Select All That Apply),Sushi Preparation Only,,,,WhatTypeofOperationWillOccurToday?(SelectAllThatApply),17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Opening Checklist,Were All Sanitation and Facility Conditions Above Met Requirements?,Yes,,,,WereAllSanitationandFacilityConditionsAboveMetRequirements?,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Opening Checklist,Thermometers Are Calibrated Using the Ice Water Method (32F +/- 2F),TRUE,,,,ThermometersAreCalibratedUsingtheIceWaterMethod(32?F?2?F),17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Opening Checklist,pH Meters Are Calibrated Using Buffer Solutions at 7.0 and 4.0,TRUE,,,,pHMetersAreCalibratedUsingBufferSolutionsat7.0and4.0,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Navigation,NEXTPAGE,NEXTPAGE,,,,,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.1 Opening - Equipment, Temperature Verification & Sanitation Control",All sanitation control conditions verified,TRUE,,,,"Allsanitationcontrolconditionsverified:foodcontactsurfacescleanedandsanitized,handwashingstationsstocked,chemicalsproperlystored,andfacilityinsanitarycondition.",17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.1 Opening - Equipment, Temperature Verification & Sanitation Control",Time of Temperature Measurement,6:00 AM,,,,TimeofTemperatureMeasurement,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.1 Opening - Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Display Case,36.8,,,,TemperatureofProductinDisplayCase,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.1 Opening - Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Prep Cooler,36.7,,,,TemperatureofProductinPrepCooler,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.2 Mid-Day Equipment, Temperature Verification & Sanitation Control",All sanitation control conditions verified,TRUE,,,,"Allsanitationcontrolconditionsverified:foodcontactsurfacescleanedandsanitized,handwashingstationsstocked,chemicalsproperlystored,andfacilityinsanitarycondition.",17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.2 Mid-Day Equipment, Temperature Verification & Sanitation Control",Time of Temperature Measurement & Cleaning Verification,10:00 AM,,,,TimeofTemperatureMeasurement&CleaningVerification,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.2 Mid-Day Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Display Case,36.9,,,,TemperatureofProductinDisplayCase,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.2 Mid-Day Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Prep Cooler,35.6,,,,TemperatureofProductinPrepCooler,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.3 Closing Equipment, Temperature Verification & Sanitation Control",All sanitation control conditions verified,TRUE,,,,"Allsanitationcontrolconditionsverified:foodcontactsurfacescleanedandsanitized,handwashingstationsstocked,chemicalsproperlystored,andfacilityinsanitarycondition.",17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.3 Closing Equipment, Temperature Verification & Sanitation Control",Time of Temperature Measurement,4:00 PM,,,,TimeofTemperatureMeasurement,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.3 Closing Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Display Case,36.5,,,,TemperatureofProductinDisplayCase,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,"2.3 Closing Equipment, Temperature Verification & Sanitation Control",Temperature of Product in Prep Cooler,36.4,,,,TemperatureofProductinPrepCooler,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Navigation,NEXTPAGE,NEXTPAGE,,,,,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Rice Processing Logs,"This only applies to Los Angeles County, San Diego County, or any area that requires white sushi rice to be held under TPHC with a 4-hour discard time",No,,,,"ThisonlyappliestoLosAngelesCounty,SanDiegoCounty,orAnyAreaThatRequiresWhiteSushiRicetoBeHeldUnderTPHCwitha4-HourDiscardTime",17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,White Rice - Batch WR1,Time Vinegar Added - WR1,7:00 AM,,,,TimeVinegarAdded?WR1,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,White Rice - Batch WR1,pH Value of the Rice,3.92,,,,pHValueoftheRice,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,White Rice - Batch WR1,Was a Second Batch of White Rice Prepared?,No,,,,WasaSecondBatchofWhiteRicePrepared?,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,White Rice - Batch WR1,Will Brown Rice Be Prepared for Sale at This Location?,No,,,,WillBrownRiceBePreparedforSaleatThisLocation?,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,Navigation,NEXTPAGE,NEXTPAGE,,,,,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,4.1 Packaged Sushi - Cooling Batch #1,CCP-3: Did the Allergens in Each Package in This Batch Match the Corresponding ACE Standard Label?,Yes,,,,CCP?3:DidtheAllergensinEachPackageinThisBatchMatchtheCorrespondingACEStandardLabel?,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,4.1 Packaged Sushi - Cooling Batch #1,CCP-4: Were All Products Cooled to 41F Within 2 Hours?,Yes,,,,CCP?4:WereAllProductsCooledto?41?FWithin2Hours?,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,4.1 Packaged Sushi - Cooling Batch #1,Cooling Start Time - End Of Preparation For This Batch,8:00 AM,,,,CoolingStartTime?EndOfPreparationForThisBatch,17:00,ace_vons_02090,,
VONS 02090 (Main),06/05/2026,ACE Daily Food Safety Log,4.1 Packaged Sushi - Cooling Batch #1,Time Product Reached 41F,9:00 AM,,,,TimeProductReached?41?F,17:00,ace_vons_02090,,
